anzsco_code,occupation_name,automation_score,augmentation_score,automation_level,augmentation_level,explanation,data_source
1111,Chief Executives and Managing Directors,0.26,0.67,Low,Medium,"JSA rates this role with 67% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1112,General Managers,0.31,0.66,Low,Medium,"JSA rates this role with 66% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1113,Legislators,0.26,0.63,Low,Medium,"JSA rates this role with 63% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1211,Aquaculture Farmers,0.41,0.66,Low,Medium,"JSA rates this role with 66% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1212,Crop Farmers,0.34,0.67,Low,Medium,"JSA rates this role with 67% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1213,Livestock Farmers,0.34,0.65,Low,Medium,"JSA rates this role with 65% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1214,Mixed Crop and Livestock Farmers,0.36,0.67,Low,Medium,"JSA rates this role with 67% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1311,"Advertising, Public Relations and Sales Manager",0.38,0.72,Low,High,JSA rates this role with 72% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1321,Corporate Services Managers,0.46,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1322,Finance Managers,0.46,0.75,Low,High,JSA rates this role with 75% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1323,Human Resource Managers,0.36,0.66,Low,Medium,"JSA rates this role with 66% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1324,Policy and Planning Managers,0.4,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1325,Research and Development Managers,0.43,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1331,Construction Managers,0.33,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1332,Engineering Managers,0.36,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
